ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.80000,0.21053,0.33333,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.60000,0.60000,0.60000,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.80000,0.17391,0.28571,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.80000,0.66667,0.72727,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.00000,0.00000,0.00000,2

ROUGE-3+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,2
ROUGE-3+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.00000,0.00000,0.00000,2

ROUGE-4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,2
ROUGE-4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.00000,0.00000,0.00000,2

ROUGE-S1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,2
ROUGE-S1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.00000,0.00000,0.00000,2

ROUGE-S2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,2
ROUGE-S2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.00000,0.00000,0.00000,2

ROUGE-S3+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,2
ROUGE-S3+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.00000,0.00000,0.00000,2

ROUGE-S4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.25000,0.01613,0.03030,2
ROUGE-S4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.00000,0.00000,0.00000,2

ROUGE-SU1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.50000,0.09302,0.15686,2
ROUGE-SU1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.50000,0.44444,0.47059,2

ROUGE-SU2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.44444,0.06667,0.11594,2
ROUGE-SU2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.44444,0.44444,0.44444,2

ROUGE-SU3+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.44444,0.05405,0.09639,2
ROUGE-SU3+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.44444,0.44444,0.44444,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.55556,0.05882,0.10638,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.44444,0.44444,0.44444,2

ROUGE-L+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.25993,0.51799,0.34615,1

ROUGE-1+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.38475,0.97309,0.55146,1

ROUGE-2+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.37138,0.96244,0.53595,1

ROUGE-3+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.36111,0.96059,0.52490,1

ROUGE-4+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.35038,0.95855,0.51318,1

ROUGE-S1+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.37138,0.96244,0.53595,1

ROUGE-S2+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.36630,0.96154,0.53050,1

ROUGE-S3+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.36111,0.96059,0.52490,1

ROUGE-S4+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.35581,0.95960,0.51913,1

ROUGE-SU1+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.37814,0.96789,0.54381,1

ROUGE-SU2+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.37258,0.96557,0.53769,1

ROUGE-SU3+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.36722,0.96394,0.53183,1

ROUGE-SU4+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.36185,0.96256,0.52598,1

